mes,ano,alta,P_1-10,P_11-20,P_21-30,UR_1-10,UR_11-20,UR_21-30,TMAX_1-10,TMAX_11-20,TMAX_21-30,TMIN_1-10,TMIN_11-20,TMIN_21-30,NDR>1mm_1-10,NDR>1mm_11-20,NDR>1mm_21-30,NDR>10mm_1-10,NDR>10mm_11-20,NDR>10mm_21-30,NRH80_1-10,NRH80_11-20,NRH80_21-30,NRH90_1-10,NRH90_11-20,NRH90_21-30
outubro,2015,0,"7,75","34,88","64,79","54,981","63,528","65,384","31,247","28,851","28,068","17,2","14,181","15,092","1,1","6,9","2,4","0,1","2,7","0,6","0,1","1,7","0,2",0,0,0
novembro,2015,0,"33,96","2,2","1,67","60,729","45,163","55,785","32,287","35,443","31,944","17,665","17,574","16,028","4,1",0,"2,3","0,9",0,0,0,0,0,0,0,0
dezembro,2015,23,51,"70,96","75,99","78,847","75,153","72,532","28,202","29,25","29,404","18,125","19,532","18,36","8,7","7,2","6,3","2,3","1,7","1,2","3,1","0,6","0,8",0,0,0
janeiro,2016,30,"37,95","65,49","70,42","82,849","80,863","82,266","26,448","27,1","27,158","18,5","18,72","18,666","8,5",10,"8,5","0,9","1,8","2,6","5,6",8,"7,6","0,5",0,0
fevereiro,2016,"51,6","70,9","179,41","94,8","81,045","86,802","82,557","27,033","25,794","26,965","17,825","17,891","17,742",8,"9,1","7,7","4,1",5,"1,1","6,8","8,8","7,9","0,9","2,6","0,4"
março,2016,58,"63,5","58,98","15,78","84,104","81,531","77,402","26,318","27,526","28,545","18,433","18,915","17,817","8,2","4,5","5,8","3,9","1,2","2,8","8,6","4,7","5,1",0,0,"1,9"
abril,2016,"42,9","55,35","23,01",67,"84,39","82,687","86,615","26,402","26,608","25,437","18,166","17,483","18,219","5,5","7,7","9,9","1,2","1,4","2,2","6,4","9,9",10,"0,5","2,3","2,6"
maio,2016,"52,9","16,52","0,02","5,2","77,315","75,303","73,478","25,485","27,879","27,84","15,2","15,96","16,386","0,6","0,2","5,2",0,0,"0,8","0,3","0,1","5,1","0,2",0,"0,6"
junho,2016,"83,3","13,8","9,43","0,25","76,788","80,604","75,094","24,074","24,782","24,763","12,175","14,472","11,861","3,6","0,3",3,0,0,0,"4,5","2,1","3,4",0,0,"1,6"
julho,2016,"83,3","0,8","0,05",72,"76,656","71,626","86,569","22,189","21,031","22,341","10,415","7,084","14,554",0,"4,4","4,7",0,"1,1","2,9","1,6","5,3",4,0,"1,9","1,1"
agosto,2016,"83,3","0,13","0,05","0,08","67,345","61,019","71,076","24,852","25,175","23,914","10,69","9,906","10,363",0,0,0,0,0,0,0,0,"1,3",0,0,0
setembro,2016,0,"10,66","15,53","0,43","59,929","57,079","61,453","26,407","27,893","26,407","10,037","12,229","12,02","2,4","0,5",0,"0,9",0,0,"0,9",0,0,0,0,0
outubro,2016,0,"5,46","6,89","9,16","55,805","51,518","63,273","29,21","31,959","28,063","12,404","15,755","14,356",5,"0,9","1,8",0,0,"0,1",0,0,"0,1",0,0,0
novembro,2016,0,"43,27","63,44","30,9","70,973","68,53","63,38","28,577","30,23","27,642","16,342","17,407","12,881","8,1",5,"2,4","1,6","1,6","0,7","0,5","0,4","0,6",0,0,0
dezembro,2016,4,"46,92","113,99","47,95","78,567","77,315","72,72","26,731","26,54","26,814","16,326","15,759","15,841","6,6","9,6","5,5","1,3","2,7","1,2","2,8","2,3",1,"0,5","0,5",0
janeiro,2017,"7,5","40,46","58,85","66,65","74,977","82,315","79,348","28,714","25,568","27,188","18,084","16,518","17,726","7,5","7,9","6,3","0,5","2,6","2,4","3,2","7,6","5,6",0,0,0
fevereiro,2017,15,"40,46","71,48","81,98","82,376","82,822","77,949","26,185","25,63","27,886","17,718","18,059","19,322","9,7",10,"7,8","0,6","3,9","1,5","7,5","7,3","1,7",0,0,0
março,2017,"23,45","35,3","3,52","54,15","74,266","73,407","82,847","28,004","28,66","26,671","17,077","17,121","18,222","1,3","5,2","9,1",0,"0,6","0,4","0,6","5,4","6,2",0,0,0
abril,2017,0,"5,34","69,12","56,9","75,36","77,06","82,255","26,151","27,245","27,065","14,525","16,796","18,557",4,5,"8,8","1,8","1,5","1,6","2,7","2,8","7,8","0,8","0,2",0
maio,2017,0,"23,1","10,32","30,57","79,778","77,633","75,199","24,749","26,516","26,553","14,665","15,787","15,531","2,9","4,8","2,7","0,4","0,7","0,3","1,5","3,9","1,3",0,0,0
junho,2017,"42,5","2,91","47,83","7,16","77,022","79,263","74,863","24,897","24,289","24,729","12,975","13,577","13,186","4,3","1,5",3,"1,8","0,2","0,5","4,3","0,7","4,4","0,8","0,2",0
julho,2017,0,"0,55","23,42","1,47","72,147","72,344","69,339","23,112","23,723",26,"10,429","11,431","11,894","0,9",3,"0,2","0,4","0,6",0,"1,2","0,7","0,1",0,0,0
agosto,2017,0,"0,11","0,79","1,23","62,492","65,118","72,339","24,303","23,642","21,003","9,453","10,04","9,081",0,0,0,0,0,0,0,0,0,0,0,0
setembro,2017,0,"0,17","19,04","0,36",52,"64,48","58,162","28,153","26,709","26,156","10,524","13,326","10,26","4,1","1,9",0,0,0,0,0,0,0,0,0,0
outubro,2017,0,"43,23","0,03","0,05","48,089","39,258","44,418","29,68","32,245","29,258","14,564","12,822","10,992","0,4",0,0,0,0,0,0,0,0,0,0,0
novembro,2017,0,"54,98","2,7","58,33","72,49","53,259","65,595","28,119","31,91","29,259","17,164","15,903","15,315","3,9","4,4","5,8","0,5","0,3","2,6","0,2",0,"0,9",0,0,0
dezembro,2017,10,"75,8","51,94","16,29","76,975","63,885","68,377","26,994","29,437","27,743","16,51","15,81","15,143","6,8","3,9","6,3","2,9",1,"1,5","3,2","1,4","1,3",0,0,0
janeiro,2018,"9,5","84,75","20,6","62,86","80,311","74,322","78,348","26,537","28,021","27,603","18,34","17,076","17,133","7,8","4,8","8,6","0,6","1,5","4,2","2,9","2,3","4,3","0,1",0,0
fevereiro,2018,"11,5","58,32","33,6","109,25","80,822","79,412","85,139","26,995","26,627","25,243","18,015","18,004","17,792","6,4","5,9","9,5","0,4","3,2","4,6","3,7","6,2","8,7",0,"0,9","1,9"
março,2018,"19,4","125,15","29,68","61,54","85,013","83,021","79,669","25,853","26,43","26,416","17,86","18,089","16,116","8,8","6,5","7,1",3,"1,2","1,1","9,1","6,1","6,3","0,2",0,0
